,Titel van het Recept,Ingredienten,Website URLS
39,Vegaburgers met mangosalsa,"['4  vegaburger’s', '4  broodjes', 'Handje sla', '½   komkommer', '175 gr  mango', '1  avocado', '1 eetlepel limoensap (of citroensap)', 'Sweet chilisaus', '1/2  rode ui']",https://www.leukerecepten.nl/recepten/vegaburgers-met-mangosalsa/
40,Surinaamse roti met kip,"['500 gr kip', '400 gr vastkokende aardappels', '500 gr kouseband', '2 a 3 eetlepels masala kruiden', '750 ml kippenbouillon', '4  rotivellen', '1  madame jeanette peper', '1  ui', '2 teentjes knoflook', '4  eieren', '1 eetlepel olie', 'peper en zout']",https://www.leukerecepten.nl/recepten/surinaamse-roti-met-kip/
41,Pulled chicken broodjes,"['6  mini broodjes (hamburger)', '2  middelgrote kipfilets', '3 eetlepels ketchup', '2 eetlepels BBQ-saus', '1 eetlepel sojasaus', 'peper en zout', 'snuf paprikapoeder', 'handje geraspte kaas']",https://www.leukerecepten.nl/recepten/pulled-chicken-broodjes/
42,Harira soep,"['1  ui', '2 teentjes knoflook', 'stukje gember van 3 cm', '1 eetlepel ras el hanout', '1 eetlepel olie', '130 gr kikkererwten', '500 ml tomaten passata', '400 gr linzen (gekookt )', '3  stengels bleekselderij', '300 ml water', '1 eetlepel milde harrisa', 'chilipoeder naar smaak', 'zout naar smaak', 'Griekse yoghurt voor er door heen', '5 gr peterselie']",https://www.leukerecepten.nl/recepten/harira-soep/
43,Ovenschotel chili con carne met pasta,"['250 gr pasta', '1  ui', '2  rode paprika’s', '2 eetlepels chili con carne kruidenmix', '1 eetlepels olijfolie', '300 gr rundergehakt', '300 gr rode/bruine bonen', '1 blik  tomatenblokjes (a 400 gr)', '1 klein blikje  tomatenpuree', '1 klein blikje  mais (a 150 gr)', '250 ml creme fraiche', '75 gr geraspte kaas']",https://www.leukerecepten.nl/recepten/ovenschotel-chili-con-carne-met-pasta/
44,Spaghetti bolognese,"['125 gr ontbijtspek in blokjes', '1  ui', '150 gr wortel', '500 gr rundergehakt', '1  rundvleesbouillonblokje', '600 ml tomatenblokjes', '1  klein blikje tomatenpuree', '1 theelepel oregano', '300 gr spaghetti', 'peper en zout', 'Extra: basilicum en Parmezaanse kaas']",https://www.leukerecepten.nl/recepten/spaghetti-bolognese/
45,Kipsaté,"['500 gr kipfilet', '2  tenen knoflook', '2 eetlepels ketjap', '½ theelepel sambal']",https://www.leukerecepten.nl/recepten/kip-sate/
46,Puntpaprika met gehakt,"['2  rode puntpaprika’s', '300 gr rundergehakt', '2  bosuien', '1 theelepel paprikapoeder', 'Handje geraspte mozzarella', 'Zout en peper', '3 eetlepels mais (uit blik)', '1 eetlepel olijfolie']",https://www.leukerecepten.nl/recepten/puntpaprika-met-gehakt/
47,Foe yong hai,"['4  eieren', '100 gr prei (fijngesneden)', '125 gr champignons (in plakjes)', '2  bosuien (in ringetjes)', '1  paprika', '125 gr taugé', '2 theelepels Chinees vijfkruidenpoeder', 'peper en zout']",https://www.leukerecepten.nl/recepten/foe-yong-hai/
48,Wraps met romige kip pesto,"['4  middelgrote wraps (volkoren)', '350 gr kip', ' 1  klein potje pesto (a 90 gr of zelfgemaakte pesto)', '100 gr roomkaas', '100 gr verse spinazie (of sla)', '2 eetlepels pijnboompitten (geroosterd)', '250 gr cherrytomaatjes', 'verse basilicum']",https://www.leukerecepten.nl/recepten/wraps-met-romige-kip-pesto/
49,Garnalen met chorizo van de bakplaat,"['300 gr garnalen (gepeld)', '1  courgette', '150 gr chorizo', '2  kleine rode puntpaprika’s', '400 gr zoete aardappel', '1  rode ui']",https://www.leukerecepten.nl/recepten/garnalen-met-chorizo-van-de-bakplaat/
50,Zalm in bladerdeeg,"['2  zalmfilets à 150 gr', '1  rol vers bladerdeeg (of 8 plakjes )', '1 eetlepel pesto', '1 eetlepel roomkaas', '2 eetlepels paneermeel', '1  ei']",https://www.leukerecepten.nl/recepten/zalm-in-bladerdeeg/
51,Hamrolletjes met asperges,"['8  asperges', '8  plakjes ham', '20 gr boter', '20 gr bloem', '100 ml melk', 'handje geraspte kaas', '2  eieren', 'verse peterselie']",https://www.leukerecepten.nl/recepten/hamrolletjes-met-asperges/
